status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,diag_sigma_mean,diag_sigma_min,diag_sigma_max,diag_charge_abs_mean,diag_parent_norm,diag_child_offset_norm,diag_anchor_alpha_entropy,diag_anchor_alpha_eff,diag_parent_top_rate,diag_child_top_rate,diag_gate_mean,diag_gate_active,diag_move_norm
ok,checkerboard3d_g4__L1_extra3__fixed_k44__seed0,checkerboard3d_g4,AAT-L1-extra3-K44,fixed,0,1,44,44,44,3,3,6,2,300,0.002,256,4096,8,822,263,0.961914,0.961908,0.952148,0.952115,0.946777,0.946713,32.74,"[[44, 44]]",88,0.619791,1715.635742,2.350612,752.549133,0.442495,765.138733,0.106422,0.096075,0.116106,1.463843,0.705244,0.823634,0.416948,1.517323,0.0,1.0,0.762375,0.236184,0.611796
ok,checkerboard3d_g4__L1_extra3__fixed_k45__seed0,checkerboard3d_g4,AAT-L1-extra3-K45,fixed,0,1,45,45,45,3,3,6,2,300,0.002,256,4096,8,840,244,0.958008,0.957998,0.952637,0.952626,0.950195,0.950163,32.966,"[[45, 45]]",90,0.619791,1801.362061,2.350612,791.582214,0.442495,798.602356,0.105955,0.096521,0.11723,1.411606,0.73657,0.827936,0.415221,1.514705,0.0,1.0,0.772106,0.234012,0.618757
ok,checkerboard3d_g4__L1_extra3__fixed_k46__seed0,checkerboard3d_g4,AAT-L1-extra3-K46,fixed,0,1,46,46,46,3,3,6,2,300,0.002,256,4096,8,858,276,0.95752,0.957507,0.946777,0.94676,0.94873,0.948703,33.212,"[[46, 46]]",92,0.619791,1735.507812,2.350612,764.877136,0.442495,775.33667,0.105169,0.093646,0.120809,1.408226,0.704713,0.839353,0.402916,1.496181,0.0,1.0,0.732524,0.224811,0.619126
ok,checkerboard3d_g4__L1_extra3__fixed_k47__seed0,checkerboard3d_g4,AAT-L1-extra3-K47,fixed,0,1,47,47,47,3,3,6,2,300,0.002,256,4096,8,876,251,0.958984,0.958942,0.955078,0.955067,0.948242,0.948235,33.087,"[[47, 47]]",94,0.619791,1824.372925,2.350612,802.012268,0.442495,804.085815,0.104554,0.095507,0.113608,1.3804,0.708574,0.820085,0.410193,1.507109,0.0,1.0,0.730731,0.223191,0.624208
ok,checkerboard3d_g4__L1_extra3__fixed_k48__seed0,checkerboard3d_g4,AAT-L1-extra3-K48,fixed,0,1,48,48,48,3,3,6,2,300,0.002,256,4096,8,894,274,0.956055,0.956012,0.950195,0.95018,0.943848,0.943839,33.047,"[[48, 48]]",96,0.619791,1618.566406,2.350612,710.823975,0.442495,719.763733,0.104069,0.093743,0.160261,1.353573,0.710705,0.83979,0.399893,1.491665,0.012207,0.987793,0.653105,0.205266,0.602232
ok,checkerboard3d_g4__L1_extra3__autok_max80__seed0,checkerboard3d_g4,AAT-L1-extra3-AutoK-max80,auto,0,1,,5,80,3,3,6,2,300,0.002,256,4096,8,120,139,0.630371,0.629607,0.620117,0.619415,0.624512,0.624361,33.509,"[[5, 5]]",10,0.619791,11.250402,2.350612,3.398412,0.442495,5.437618,0.086945,0.066213,0.113465,0.9183,0.54819,0.763421,0.121028,1.128656,0.096191,0.903809,0.579837,0.19043,0.193369
ok,checkerboard3d_g4__L1_extra3__fixed_k49__seed0,checkerboard3d_g4,AAT-L1-extra3-K49,fixed,0,1,49,49,49,3,3,6,2,300,0.002,256,4096,8,912,297,0.960938,0.960925,0.952637,0.952627,0.955566,0.955534,34.393,"[[49, 49]]",98,0.619791,1698.444458,2.350612,741.100952,0.442495,761.658936,0.102471,0.093393,0.113893,1.375227,0.661401,0.818577,0.388947,1.475427,0.0,1.0,0.688273,0.214211,0.617889
ok,checkerboard3d_g4__L1_extra3__fixed_k50__seed0,checkerboard3d_g4,AAT-L1-extra3-K50,fixed,0,1,50,50,50,3,3,6,2,300,0.002,256,4096,8,930,287,0.959961,0.959944,0.947266,0.947149,0.95166,0.951646,33.213,"[[50, 50]]",100,0.619791,1758.638184,2.350612,770.9328,0.442495,781.322815,0.102706,0.093771,0.118581,1.323192,0.699279,0.844345,0.391143,1.47867,0.0,1.0,0.675286,0.206904,0.620225
ok,checkerboard3d_g4__L1_extra3__fixed_k51__seed0,checkerboard3d_g4,AAT-L1-extra3-K51,fixed,0,1,51,51,51,3,3,6,2,300,0.002,256,4096,8,948,244,0.958984,0.958981,0.957031,0.957026,0.949219,0.949166,33.048,"[[51, 51]]",102,0.619791,1724.600586,2.350612,755.083252,0.442495,767.564514,0.102104,0.09431,0.117343,1.262001,0.691094,0.822821,0.397072,1.487464,0.0,1.0,0.679953,0.206734,0.608584
ok,checkerboard3d_g4__L1_extra3__fixed_k52__seed0,checkerboard3d_g4,AAT-L1-extra3-K52,fixed,0,1,52,52,52,3,3,6,2,300,0.002,256,4096,8,966,290,0.956055,0.956041,0.95166,0.951605,0.951172,0.951135,33.082,"[[52, 52]]",104,0.619791,1545.214966,2.350612,671.318176,0.442495,680.82074,0.102183,0.09284,0.151706,1.245262,0.701474,0.861917,0.397848,1.488618,0.01123,0.98877,0.616493,0.192049,0.58876
