status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,state_mode,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,layer1_children,layer1_sigma_mean,layer1_sigma_min,layer1_sigma_max,layer1_gate_active,layer1_gate_mean,layer1_move_norm,layer1_alpha_eff,layer1_parent_top_rate,layer1_child_top_rate,layer1_charge_abs_mean,layer1_parent_norm,layer1_child_offset_norm
ok,airline_satisfaction__L1_x2__fixed_k60__seed0,airline_satisfaction,AAT-L1-x2-K60,fixed,0,1,60,60,60,x2,32,32,64,2,80,0.001,512,8192,8,8302,75,0.954318,0.953328,0.954318,0.953415,0.953111,0.952173,103.832,"[[60, 60]]",120,6778.578125,7049.052734,1237.093018,1285.515137,2095.927246,2173.928467,60.0,2.718337,1.627361,3.736394,0.125727,0.07899,0.478239,18.905731,0.032104,0.967896,0.586502,8.445721,10.418514
ok,airline_satisfaction__L1_x2__fixed_k61__seed0,airline_satisfaction,AAT-L1-x2-K61,fixed,0,1,61,61,61,x2,32,32,64,2,80,0.001,512,8192,8,8436,79,0.955088,0.954187,0.954703,0.953833,0.95338,0.952536,103.897,"[[61, 61]]",122,6778.578125,7046.740234,1237.093018,1285.004517,2095.927246,2172.900879,61.0,2.69479,1.652762,3.650751,0.128943,0.083516,0.518929,19.034786,0.034424,0.965576,0.619999,8.489489,10.379664
ok,airline_satisfaction__L1_x2__fixed_k62__seed0,airline_satisfaction,AAT-L1-x2-K62,fixed,0,1,62,62,62,x2,32,32,64,2,80,0.001,512,8192,8,8570,77,0.955216,0.954362,0.953291,0.952443,0.954843,0.954066,104.39,"[[62, 62]]",124,6778.578125,7059.036133,1237.093018,1287.423096,2095.927246,2173.855469,62.0,2.694497,1.649167,3.587845,0.159883,0.118216,0.528872,19.107445,0.001587,0.998413,0.601871,8.589289,10.254757
ok,airline_satisfaction__L1_x2__fixed_k63__seed0,airline_satisfaction,AAT-L1-x2-K63,fixed,0,1,63,63,63,x2,32,32,64,2,80,0.001,512,8192,8,8704,75,0.954895,0.953957,0.953805,0.952942,0.953842,0.952968,104.82,"[[63, 63]]",126,6778.578125,7053.797852,1237.093018,1286.523315,2095.927246,2174.859131,63.0,2.691849,1.721555,3.676777,0.143373,0.102371,0.554353,20.169052,0.030884,0.969116,0.591418,8.529659,10.214007
ok,airline_satisfaction__L1_x2__fixed_k64__seed0,airline_satisfaction,AAT-L1-x2-K64,fixed,0,1,64,64,64,x2,32,32,64,2,80,0.001,512,8192,8,8838,78,0.955152,0.954285,0.955088,0.954182,0.955497,0.95471,103.955,"[[64, 64]]",128,6778.578125,7081.590332,1237.093018,1291.444702,2095.927246,2183.802246,64.0,2.69301,1.714124,3.674787,0.158001,0.112431,0.562983,19.693069,0.003174,0.996826,0.620622,8.395248,10.134956
ok,airline_satisfaction__L1_x2__fixed_k65__seed0,airline_satisfaction,AAT-L1-x2-K65,fixed,0,1,65,65,65,x2,32,32,64,2,80,0.001,512,8192,8,8972,77,0.954895,0.954005,0.954318,0.953447,0.954843,0.954038,104.284,"[[65, 65]]",130,6778.578125,7057.210449,1237.093018,1287.136353,2095.927246,2174.653564,65.0,2.700695,1.643987,3.747347,0.126833,0.090173,0.489073,19.376947,0.008057,0.991943,0.582784,8.646399,10.199166
ok,airline_satisfaction__L1_x2__fixed_k66__seed0,airline_satisfaction,AAT-L1-x2-K66,fixed,0,1,66,66,66,x2,32,32,64,2,80,0.001,512,8192,8,9106,75,0.95451,0.95359,0.954061,0.953167,0.953534,0.952683,104.287,"[[66, 66]]",132,6778.578125,7050.179199,1237.093018,1285.567993,2095.927246,2172.601807,66.0,2.707304,1.645697,3.818336,0.130388,0.087993,0.488842,19.557524,0.010864,0.989136,0.587073,8.320518,10.156561
ok,airline_satisfaction__L1_x2__fixed_k67__seed0,airline_satisfaction,AAT-L1-x2-K67,fixed,0,1,67,67,67,x2,32,32,64,2,80,0.001,512,8192,8,9240,77,0.955152,0.954221,0.954703,0.953809,0.954112,0.953271,103.378,"[[67, 67]]",134,6778.578125,7059.939453,1237.093018,1287.713501,2095.927246,2177.197021,67.0,2.708591,1.611284,3.80092,0.149012,0.103894,0.537318,20.344734,0.000366,0.999634,0.582974,8.265154,10.051989
ok,airline_satisfaction__L1_x2__fixed_k68__seed0,airline_satisfaction,AAT-L1-x2-K68,fixed,0,1,68,68,68,x2,32,32,64,2,80,0.001,512,8192,8,9374,80,0.953869,0.952949,0.953869,0.952949,0.952841,0.95201,104.471,"[[68, 68]]",136,6778.578125,7080.442871,1237.093018,1291.011108,2095.927246,2182.310547,68.0,2.696372,1.657583,3.740133,0.125933,0.083379,0.494485,19.4484,0.006714,0.993286,0.586786,8.537087,10.147402
ok,airline_satisfaction__L1_x2__fixed_k69__seed0,airline_satisfaction,AAT-L1-x2-K69,fixed,0,1,69,69,69,x2,32,32,64,2,80,0.001,512,8192,8,9508,63,0.953548,0.952644,0.951944,0.951058,0.953957,0.953175,103.648,"[[69, 69]]",138,6778.578125,7083.875488,1237.093018,1291.76062,2095.927246,2182.218506,69.0,2.696068,1.697341,3.887558,0.124596,0.085882,0.519907,18.702461,0.012573,0.987427,0.562287,8.461095,10.086519
